,measure,Date_day,value,site_id,latitude,longitude
296,Particulate Air Pollution (2.5 µm),2019-11-29,12.6,1005,-37.800629,144.965052
297,Particulate Air Pollution (10 µm),2019-11-29,37.00416666666667,1005,-37.800629,144.965052
298,Ambient Air Temperature,2019-11-29,15.739166666666668,1005,-37.800629,144.965052
299,Relative Humidity,2019-11-29,71.3,1005,-37.800629,144.965052
300,Particulate Air Pollution (2.5 µm),2019-11-30,6.45,1001,-37.800793,144.966492
301,Particulate Air Pollution (10 µm),2019-11-30,26.037499999999998,1001,-37.800793,144.966492
302,Ambient Air Temperature,2019-11-30,15.489166666666668,1001,-37.800793,144.966492
303,Relative Humidity,2019-11-30,57.275,1001,-37.800793,144.966492
304,Particulate Air Pollution (2.5 µm),2019-11-30,5.983333333333333,1002,-37.800524,144.964122
305,Particulate Air Pollution (10 µm),2019-11-30,25.504166666666666,1002,-37.800524,144.964122
306,Ambient Air Temperature,2019-11-30,14.60375,1002,-37.800524,144.964122
307,Relative Humidity,2019-11-30,64.62833333333333,1002,-37.800524,144.964122
308,Particulate Air Pollution (2.5 µm),2019-11-30,5.529166666666666,1003,-37.8023,144.960923
309,Particulate Air Pollution (10 µm),2019-11-30,23.504166666666666,1003,-37.8023,144.960923
310,Ambient Air Temperature,2019-11-30,14.585,1003,-37.8023,144.960923
311,Relative Humidity,2019-11-30,65.29,1003,-37.8023,144.960923
312,Particulate Air Pollution (2.5 µm),2019-11-30,5.904166666666666,1004,-37.800575,144.964635
313,Particulate Air Pollution (10 µm),2019-11-30,24.7,1004,-37.800575,144.964635
314,Ambient Air Temperature,2019-11-30,13.935,1004,-37.800575,144.964635
315,Relative Humidity,2019-11-30,64.63833333333334,1004,-37.800575,144.964635
316,Particulate Air Pollution (2.5 µm),2019-11-30,4.704166666666667,1005,-37.800629,144.965052
317,Particulate Air Pollution (10 µm),2019-11-30,23.8125,1005,-37.800629,144.965052
